,Country,LifeExpectancy,uhcCoverage,HHExpdt10,HHExpdt25,Doctors,Nurses,Dentists,Pharmacists
0,Afghanistan,61.65,34,,,2.85,1.3,0.036,0.5
1,Albania,77.84,58,,,,,,
2,Algeria,76.54,76,,,,,,
3,Angola,61.72,38,,,,,,
4,Antigua and Barbuda,76.14,73,,,,45.09,,
5,Argentina,76.17,76,,,,,,
6,Armenia,74.51,66,,,29.14,49.54,3.69,0.49
7,Australia,82.28,86,,,34.89,122.0,5.78,8.47
8,Austria,80.98,79,,,51.04,70.14,5.65,7.03
9,Azerbaijan,70.67,63,,,,,,
10,Bahamas,72.92,73,,,,,,
11,Bahrain,76.46,75,,,9.26,24.94,0.98,1.62
12,Bangladesh,73.58,46,,,4.86,2.75,0.42,0.78
13,Barbados,76.22,76,,,,,,
14,Belarus,73.82,74,7.78,0.46,51.91,110.0,5.92,3.63
15,Belgium,80.71,83,,,30.14,118.1,7.35,12.09
16,Belize,74.05,66,,,,1744.0,,
17,Benin,61.96,40,,,,,,
18,Bhutan,72.15,59,,,3.45,14.7,,0.21
19,Bolivia (Plurinational State of),71.52,64,6.02,1.09,,11.91,,
20,Bosnia and Herzegovina,76.32,60,8.18,1.39,21.62,61.8,2.4,1.29
21,Botswana,60.93,61,,,,,,
22,Brazil,75.13,78,,,,91.08,,
23,Brunei Darussalam,74.4,83,,,17.81,66.43,2.27,1.71
24,Bulgaria,74.55,64,,,40.33,48.16,10.48,
25,Burkina Faso,60.92,38,,,0.66,6.7,,0.14
26,Burundi,62.05,43,,,0.5,6.66,,
27,Cabo Verde,74.88,67,,,7.81,9.49,,
28,Cambodia,69.17,55,,,,5.89,,
29,Cameroon,59.11,43,,,,,,
30,Canada,81.76,88,,,,98.19,,
31,Central African Republic,50.53,32,,,0.72,2.06,,0.045
32,Chad,57.91,27,,,0.49,2.53,,0.056
33,Chile,79.82,66,,,21.47,109.8,10.04,4.43
34,China,76.64,76,,,17.73,22.91,,2.99
35,Colombia,78.35,76,,,19.74,11.65,9.74,
36,Comoros,66.45,49,,,,,,
37,Congo,63.11,40,,,,7.93,,
38,Costa Rica,80.78,76,,,13.79,26.58,1.45,7.26
39,Côte d’Ivoire,60.2,46,12.43,3.37,,4.69,,
